model,r2_log,r2_price,mae_price,rmse_price,mape_price,median_ape_price
xgboost,0.8373,0.8004,0.2116,0.5002,20.92,14.81
random_forest,0.8019,0.6895,0.2369,0.6239,23.0,16.18
gradient_boosting,0.7875,0.6734,0.2548,0.6399,24.83,18.67
adaboost,0.6833,0.572,0.3265,0.7325,38.59,27.81
decision_tree,0.672,0.5413,0.3057,0.7583,29.4,19.71
linear_regression,0.5772,0.3842,0.3449,0.8786,32.32,24.32
ridge,0.5774,0.3814,0.3447,0.8806,32.21,24.1
lasso,0.5202,0.3078,0.3741,0.9316,36.12,27.3
baseline_mean,-0.0263,-0.001,0.5659,1.1202,72.66,54.37
baseline_median,-0.0899,-0.0784,0.5053,1.1627,45.9,36.0
svr,0.7112,-0.4671,0.2863,1.3562,25.29,17.92
