model,r2_log,r2_price,mae_price,rmse_price,mape_price,median_ape_price
random_forest,0.7956,0.7266,0.2143,0.4488,22.0,15.73
xgboost,0.8159,0.7229,0.2026,0.4518,20.9,14.82
gradient_boosting,0.7651,0.6612,0.2414,0.4995,25.16,19.03
decision_tree,0.6851,0.5604,0.2678,0.569,27.12,18.75
adaboost,0.5851,0.5406,0.3488,0.5817,48.41,35.95
linear_regression,0.5975,0.4566,0.3031,0.6327,30.45,21.79
ridge,0.5975,0.4542,0.303,0.634,30.37,21.61
svr,0.7086,0.4486,0.2559,0.6373,25.67,18.82
lasso,0.5283,0.3699,0.3356,0.6813,34.82,26.66
baseline_mean,-0.0504,-0.0006,0.5354,0.8585,75.11,54.89
baseline_median,-0.0799,-0.0979,0.4639,0.8993,46.09,36.0
